Time, XRP(Price), Cash, Market Value, Shares,
9143, 0.5450545, 3.60228064717264, 4790.18099380236, 8788.44408, 
42539, 0.56151177, 3.70617264717264, 4934.711053853361, 8788.259334, 
47636, 0.54359904, 3.54245085717264, 4777.452715924912, 8788.559884, 
61403, 0.56143169, 3.64414185717264, 4934.074320498228, 8788.378726, 
138332, 0.53919702, 3.48436894917264, 4738.826034157481, 8788.672523, 
143278, 0.5538566, 3.58344494917264, 4867.565670703855, 8788.494478, 
169052, 0.53763441, 3.42611491717264, 4725.154645618735, 8788.787618, 
230168, 0.5281, 3.27405841117264, 4641.5129214451, 8789.079571, 
280961, 0.5415, 3.27405841117264, 3768.3415579139996, 6959.079516, 
